permutation,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9
"(1, 2, 3, 4, 5, 6, 7, 8)",0,0,1,0,0,0,0,1,1
"(1, 2, 3, 4, 5, 6, 8, 7)",0,1,1,0,1,1,1,1,1
"(1, 2, 3, 4, 5, 7, 6, 8)",0,0,1,0,1,1,1,1,1
"(1, 2, 3, 4, 5, 7, 8, 6)",0,1,0,0,2,0,1,1,0
"(1, 2, 3, 4, 5, 8, 6, 7)",0,0,0,0,2,0,1,1,1
"(1, 2, 3, 4, 5, 8, 7, 6)",0,1,1,0,3,1,2,0,1
"(1, 2, 3, 4, 6, 5, 7, 8)",0,0,1,0,1,1,1,1,1
"(1, 2, 3, 4, 6, 5, 8, 7)",0,1,1,0,2,0,2,0,1
"(1, 2, 3, 4, 6, 7, 5, 8)",0,0,0,0,2,0,1,1,0
"(1, 2, 3, 4, 6, 7, 8, 5)",0,1,0,0,3,1,1,1,0
"(1, 2, 3, 4, 6, 8, 5, 7)",0,0,0,0,3,1,1,1,0
"(1, 2, 3, 4, 6, 8, 7, 5)",0,1,0,0,4,0,2,0,0
"(1, 2, 3, 4, 7, 5, 6, 8)",0,0,0,0,2,0,1,1,1
"(1, 2, 3, 4, 7, 5, 8, 6)",0,1,0,0,3,1,2,0,0
"(1, 2, 3, 4, 7, 6, 5, 8)",0,0,1,0,3,1,2,0,1
"(1, 2, 3, 4, 7, 6, 8, 5)",0,1,0,0,4,0,2,0,0
"(1, 2, 3, 4, 7, 8, 5, 6)",0,0,1,0,4,0,1,1,0
"(1, 2, 3, 4, 7, 8, 6, 5)",0,1,0,0,5,1,2,0,0
"(1, 2, 3, 4, 8, 5, 6, 7)",0,0,0,0,3,1,1,1,1
"(1, 2, 3, 4, 8, 5, 7, 6)",0,1,0,0,4,0,2,0,1
"(1, 2, 3, 4, 8, 6, 5, 7)",0,0,0,0,4,0,2,0,1
"(1, 2, 3, 4, 8, 6, 7, 5)",0,1,1,0,5,1,2,0,0
